sz,主板,000039,中集集团,1994-04-08,中国国际海运集装箱(集团)股份有限公司,"CHINA INTERNATIONAL MARINE CONTAINERS (GROUP) CO., LTD",广东省深圳市南山蛇口工业区港湾大道2号中集研发中心8楼,www.cimc.com,"1,535,121,660","1,534,271,428",华南,广东,深圳市,C 制造业
sz,主板,000040,东旭蓝天,1994-08-08,东旭蓝天新能源股份有限公司,"TUNGHSU AZURE RENEWABLE ENERGY CO.,LTD.",广东省深圳市罗湖区东门中路1011号鸿基大厦25-27楼,www.dongxulantian.com,"1,486,873,870","1,060,340,670",华南,广东,深圳市,D 水电煤气
sz,主板,000042,中洲控股,1994-09-21,深圳市中洲投资控股股份有限公司,"SHENZHEN CENTRALCON INVESTMENT HOLDING CO., LTD",广东省深圳市福田区金田路3088号中洲大厦38楼,www.zztzkg.com,"664,831,139","662,103,039",华南,广东,深圳市,K 房地产
sz,主板,000045,深纺织Ａ,1994-08-15,深圳市纺织(集团)股份有限公司,"SHENZHEN TEXTILE (HOLDINGS) CO., LTD",广东省深圳市福田区华强北路3号深纺大厦6楼,www.chinasthc.com,"458,272,279","457,017,874",华南,广东,深圳市,C 制造业
sz,主板,000046,泛海控股,1994-09-12,泛海控股股份有限公司,"OCEANWIDE HOLDINGS CO., LTD.",北京市东城区建国门内大街28号民生金融中心C座22层,www.fhjs.cn,"5,196,200,656","5,193,833,956",华北,北京,北京市,J 金融业
sz,主板,000048,京基智农,1994-11-01,深圳市京基智农时代股份有限公司,"SHENZHEN KINGKEY SMART AGRICULTURE TIMES CO.,LTD",广东省深圳市罗湖区深南东路5016号京基一百大厦A座71层7101,www.kondarl.com,"402,491,731","402,428,671",华南,广东,深圳市,C 制造业
sz,主板,000049,德赛电池,1995-03-20,深圳市德赛电池科技股份有限公司,"SHENZHEN DESAY BATTERY TECHNOLOGY CO.,LTD",广东省深圳市南山区高新科技园南区高新南一道德赛科技大厦26楼,www.desaybattery.com,"207,197,738","205,243,738",华南,广东,深圳市,C 制造业
sz,主板,000050,深天马Ａ,1995-03-15,天马微电子股份有限公司,"TIANMA MICROELECTRONICS CO., LTD",广东省深圳市龙华区民治街道北站社区留仙大道天马大厦1918,www.tianma.cn,"2,457,747,661","1,828,920,459",华南,广东,深圳市,C 制造业
sz,主板,000055,方大集团,1996-04-15,方大集团股份有限公司,"CHINA FANGDA GROUP CO., LTD",广东省深圳市南山区高新技术产业园南区科技南十二路方大科技大厦,www.fangda.com,"679,715,472","677,413,379",华南,广东,深圳市,C 制造业
sz,主板,000056,皇庭国际,1996-07-08,深圳市皇庭国际企业股份有限公司,"SHENZHEN WONGTEE INTERNATIONAL ENTERPRISE CO., LTD.",广东省深圳市福田区福田街道岗厦社区福华路350号岗厦皇庭大厦28A01单元,www.wongtee000056.com,"931,293,708","903,728,783",华南,广东,深圳市,L 商务服务
sz,主板,000058,深 赛 格,1996-12-26,深圳赛格股份有限公司,"SHENZHEN SEG CO.,LTD",广东省深圳市福田区华强北路群星广场A座三十一楼,www.segcl.com.cn,"989,194,931","538,282,117",华南,广东,深圳市,L 商务服务
sz,主板,000059,华锦股份,1997-01-30,北方华锦化学工业股份有限公司,"North Huajin Chemical Industries Co.,Ltd",辽宁省盘锦市双台子区红旗大街,www.hjch.com,"1,599,442,537","1,599,409,531",东北,辽宁,盘锦市,C 制造业
sz,主板,000060,中金岭南,1997-01-23,深圳市中金岭南有色金属股份有限公司,"SHENZHEN ZHONGJIN LINGNAN NONFEMET CO.,LTD",广东省深圳市罗湖区清水河街道清水河一路深业进元大厦塔楼2座303C房,www.nonfemet.com,"3,569,685,327","3,568,385,943",华南,广东,深圳市,C 制造业
sz,主板,000061,农 产 品,1997-01-10,深圳市农产品集团股份有限公司,"SHENZHEN AGRICULTURAL PRODUCTS GROUP CO., LTD",广东省深圳市罗湖区布吉路1019号农产品批发市场第一层,www.szap.com,"1,696,964,131","1,696,600,695",华南,广东,深圳市,L 商务服务
sz,主板,000062,深圳华强,1997-01-30,深圳华强实业股份有限公司,"SHENZHEN HUAQIANG INDUSTRY CO., LTD",广东省深圳市福田区华强北路华强广场A座5楼,www.szhq000062.com,"1,045,909,322","1,044,553,288",华南,广东,深圳市,F 批发零售
sz,主板,000063,中兴通讯,1997-11-18,中兴通讯股份有限公司,ZTE CORPORATION,广东省深圳市南山区高新技术产业园科技南路中兴通讯大厦,www.zte.com.cn,"3,857,932,364","3,476,253,800",华南,广东,深圳市,C 制造业
sz,主板,000065,北方国际,1998-06-05,北方国际合作股份有限公司,NORINCO International Cooperation Ltd.,北京市丰台区南四环西路188号总部基地12区47号楼3层(301、302),www.norinco-intl.com,"769,516,342","673,092,756",华北,北京,北京市,E 建筑业
sz,主板,000066,中国长城,1997-06-26,中国长城科技集团股份有限公司,"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD.",广东省深圳南山区科技工业园长城计算机大厦,www.greatwall.cn,"2,928,182,053","2,927,833,543",华南,广东,深圳市,C 制造业
sz,主板,000068,华控赛格,1997-06-11,深圳华控赛格股份有限公司,"SHENZHEN HUAKONG SEG CO.,LTD.",广东省深圳市大工业区兰竹大道以北CH3主厂房,www.ssg.com.cn,"1,006,671,464","1,006,668,464",华南,广东,深圳市,M 科研服务
sz,主板,000069,华侨城Ａ,1997-09-10,深圳华侨城股份有限公司,"SHENZHEN OVERSEAS CHINESE TOWN CO.,LTD",广东省深圳市南山区华侨城,www.octholding.com,"8,201,793,915","7,056,298,141",华南,广东,深圳市,K 房地产
sz,主板,000070,特发信息,2000-05-11,深圳市特发信息股份有限公司,"SHENZHEN SDG INFORMATION CO., LTD",广东省深圳市南山区高新区中区科丰路2号特发信息港大厦B栋18楼,www.sdgi.com.cn,"816,578,166","795,243,815",华南,广东,深圳市,C 制造业
sz,主板,000078,海王生物,1998-12-18,深圳市海王生物工程股份有限公司,"SHENZHEN NEPTUNUS BIOENGINEERINGCO.,LTD",广东省深圳市南山区科技园科技中三路1号海王银河科技大厦24楼,www.neptunus.com,"2,750,833,257","2,621,199,543",华南,广东,深圳市,F 批发零售
sz,主板,000088,盐 田 港,1997-07-28,深圳市盐田港股份有限公司,"SHENZHEN YAN TIAN PORT HOLDINGS CO.,LTD",广东省深圳市盐田区盐田港海港大厦18-19层,www.yantian-port.com,"2,249,161,747","2,249,161,747",华南,广东,深圳市,G 运输仓储
sz,主板,000089,深圳机场,1998-04-20,深圳市机场股份有限公司,"SHENZHEN AIRPORT CO.,LTD",广东省深圳市宝安区宝安机场T3商务区配套写字楼A栋,www.szairport.com,"2,050,769,509","2,050,769,509",华南,广东,深圳市,G 运输仓储
sz,主板,000090,天健集团,1999-07-21,深圳市天健(集团)股份有限公司,"SHENZHEN TAGEN GROUP CO., LTD.",广东省深圳市福田区红荔西路莲花街道7019号天健商务大厦19楼,www.tagen.cn,"1,868,545,434","1,868,287,589",华南,广东,深圳市,E 建筑业
sz,主板,000096,广聚能源,2000-07-24,深圳市广聚能源股份有限公司,"SHENZHEN GUANGJU ENERGY CO., LTD",广东省深圳市南山区海德三道天利中央商务广场22楼,www.gj000096.com,"528,000,000","510,848,000",华南,广东,深圳市,F 批发零售
sz,主板,000099,中信海直,2000-07-31,中信海洋直升机股份有限公司,"CITIC OFFSHORE HELICOPTER CO.,LTD",广东省深圳市罗湖区解放西路188号,www.cohc.citic,"606,070,420","606,070,420",华南,广东,深圳市,G 运输仓储
sz,主板,000100,TCL科技,2004-01-30,TCL科技集团股份有限公司,TCL Technology Group Corporation,广东省惠州市仲恺高新区惠风三路17号TCL科技大厦,www.tcl.com,"14,030,788,362","12,656,210,284",华南,广东,惠州市,C 制造业
sz,主板,000150,宜华健康,2000-08-07,宜华健康医疗股份有限公司,"YIHUA HEALTHCARE Co., Ltd.",广东省汕头市澄海区文冠路北侧,www.yihuahealth.com,"877,697,557","805,990,242",华南,广东,汕头市,Q 卫生
